module,pi,theta,karatsuba,length,cycles
nmh,116,3,0,15932,12571
nmh,116,3,1,140,189
nmh,116,3,1,252,295
nmh,116,3,1,364,400
nmh,116,3,1,476,505
nmh,116,3,1,588,609
nmh,116,3,1,700,722
nmh,116,3,1,812,840
nmh,116,3,1,924,965
nmh,116,3,1,1036,1082
nmh,116,3,1,1148,1199
nmh,116,3,1,1260,1327
nmh,116,3,1,1372,1440
nmh,116,3,1,1484,1543
nmh,116,3,1,1596,1655
nmh,116,3,1,1708,1771
nmh,116,3,1,1820,1888
nmh,116,3,1,1932,2000
nmh,116,3,1,2044,2112
nmh,116,3,1,2156,2226
nmh,116,3,1,2268,2337
nmh,116,3,1,2380,2449
nmh,116,3,1,2492,2568
nmh,116,3,1,2604,2673
nmh,116,3,1,2716,2785
nmh,116,3,1,2828,2898
nmh,116,3,1,2940,3011
nmh,116,3,1,3052,3122
nmh,116,3,1,3164,3235
nmh,116,3,1,3276,3346
nmh,116,3,1,3388,3458
nmh,116,3,1,3500,3571
nmh,116,3,1,3612,3683
nmh,116,3,1,3724,3795
nmh,116,3,1,3836,3908
nmh,116,3,1,3948,4020
nmh,116,3,1,4060,4131
nmh,116,3,1,4172,4246
nmh,116,3,1,4284,4356
nmh,116,3,1,4396,4467
nmh,116,3,1,4508,4581
nmh,116,3,1,4620,4692
nmh,116,3,1,4732,4805
nmh,116,3,1,4844,4916
nmh,116,3,1,4956,5029
nmh,116,3,1,5068,5140
nmh,116,3,1,5180,5256
nmh,116,3,1,5292,5366
nmh,116,3,1,5404,5479
nmh,116,3,1,5516,5591
nmh,116,3,1,5628,5701
nmh,116,3,1,5740,5814
nmh,116,3,1,5852,5927
nmh,116,3,1,5964,6049
nmh,116,3,1,6076,6149
nmh,116,3,1,6188,6265
nmh,116,3,1,6300,6375
nmh,116,3,1,6412,6487
nmh,116,3,1,6524,6599
nmh,116,3,1,6636,6712
nmh,116,3,1,6748,6831
nmh,116,3,1,6860,6945
nmh,116,3,1,6972,7056
nmh,116,3,1,7084,7170
nmh,116,3,1,7196,7282
nmh,116,3,1,7308,7394
nmh,116,3,1,7420,7507
nmh,116,3,1,7532,7617
nmh,116,3,1,7644,7732
nmh,116,3,1,7756,7843
nmh,116,3,1,7868,7954
nmh,116,3,1,7980,8071
nmh,116,3,1,8092,8194
nmh,116,3,1,8204,8292
nmh,116,3,1,8316,8405
nmh,116,3,1,8428,8516
nmh,116,3,1,8540,8627
nmh,116,3,1,8652,8740
nmh,116,3,1,8764,8852
nmh,116,3,1,8876,8963
nmh,116,3,1,8988,9078
nmh,116,3,1,9100,9193
nmh,116,3,1,9212,9304
nmh,116,3,1,9324,9412
nmh,116,3,1,9436,9523
nmh,116,3,1,9548,9636
nmh,116,3,1,9660,9749
nmh,116,3,1,9772,9855
nmh,116,3,1,9884,9971
nmh,116,3,1,9996,10083
nmh,116,3,1,10108,10195
nmh,116,3,1,10220,10308
nmh,116,3,1,10332,10419
nmh,116,3,1,10444,10532
nmh,116,3,1,10556,10644
nmh,116,3,1,10668,10756
nmh,116,3,1,10780,10869
nmh,116,3,1,10892,10980
nmh,116,3,1,11004,11092
nmh,116,3,1,11116,11206
nmh,116,3,1,11228,11317
nmh,116,3,1,11340,11437
nmh,116,3,1,11452,13121
nmh,116,3,1,11564,13196
